When,guttannen20,guttannen21,gangles21,schwarzsee19
2022-06-25,,,,
2022-06-26,,,,
2022-06-27,,,,
2022-06-28,,,,
2022-06-29,,,,
2022-06-30,,,,
2022-07-01,,,,
2022-07-02,,,,
2022-07-03,,,,
2022-07-04,,,,
2022-07-05,,,,
2022-07-06,,,,
2022-07-07,,,,
2022-07-08,,,,
2022-07-09,,,,
2022-07-10,,,,
2022-07-11,,,,
2022-07-12,,,,
2022-07-13,,,,
2022-07-14,,,,
2022-07-15,,,,
2022-07-16,,,,
2022-07-17,,,,
2022-07-18,,,,
2022-07-19,,,,
2022-07-20,,,,
2022-07-21,,,,
2022-07-22,,,,
2022-07-23,,,,
2022-07-24,,,,
2022-07-25,,,,
2022-07-26,,,,
2022-07-27,,,,
2022-07-28,,,,
2022-07-29,,,,
2022-07-30,,,,
2022-07-31,,,,
2022-08-01,,,,
2022-08-02,,,,
2022-08-03,,,,
2022-08-04,,,,
2022-08-05,,,,
2022-08-06,,,,
2022-08-07,,,,
2022-08-08,,,,
2022-08-09,,,,
2022-08-10,,,,
2022-08-11,,,,
2022-08-12,,,,
2022-08-13,,,,
2022-08-14,,,,
2022-08-15,,,,
2022-08-16,,,,
2022-08-17,,,,
2022-08-18,,,,
2022-08-19,,,,
2022-08-20,,,,
2022-08-21,,,,
2022-08-22,,,,
2022-08-23,,,,
2022-08-24,,,,
2022-08-25,,,,
2022-08-26,,,,
2022-08-27,,,,
2022-08-28,,,,
2022-08-29,,,,
2022-08-30,,,,
2022-08-31,,,,
2022-09-01,,,,
2022-09-02,,,,
2022-09-03,,,,
2022-09-04,,,,
2022-09-05,,,,
2022-09-06,,,,
2022-09-07,,,,
2022-09-08,,,,
2022-09-09,,,,
2022-09-10,,,,
2022-09-11,,,,
2022-09-12,,,,
2022-09-13,,,,
2022-09-14,,,,
2022-09-15,,,,
2022-09-16,,,,
2022-09-17,,,,
2022-09-18,,,,
2022-09-19,,,,
2022-09-20,,,,
2022-09-21,,,,
2022-09-22,,,,
2022-09-23,,,,
2022-09-24,,,,
2022-09-25,,,,
2022-09-26,,,,
2022-09-27,,,,
2022-09-28,,,,
2022-09-29,,,,
2022-09-30,,,,
2022-10-01,,,,
2022-10-02,,,,
2022-10-03,,,,
2022-10-04,,,,
2022-10-05,,,,
2022-10-06,,,,
2022-10-07,,,,
2022-10-08,,,,
2022-10-09,,,,
2022-10-10,,,,
2022-10-11,,,,
2022-10-12,,,,
2022-10-13,,,,
2022-10-14,,,,
2022-10-15,,,,
2022-10-16,,,,
2022-10-17,,,,
2022-10-18,,,,
2022-10-19,,,,
2022-10-20,,,,
2022-10-21,,,,
2022-10-22,,,,
2022-10-23,,,,
2022-10-24,,,,
2022-10-25,,,,
2022-10-26,,,,
2022-10-27,,,,
2022-10-28,,,,
2022-10-29,,,,
2022-10-30,,,,
2022-10-31,,,,
2022-11-01,,,,
2022-11-02,,,,
2022-11-03,,,,
2022-11-04,,,,
2022-11-05,,,,
2022-11-06,,,,
2022-11-07,,,,
2022-11-08,,,,
2022-11-09,,,,
2022-11-10,,,,
2022-11-11,,,,
2022-11-12,,,,
2022-11-13,,,,
2022-11-14,,,,
2022-11-15,,,,
2022-11-16,,,,
2022-11-17,,,,
2022-11-18,,,,
2022-11-19,,,,
2022-11-20,,,,
2022-11-21,,,,
2022-11-22,,14.422693452544344,,
2022-11-23,,15.562947584436602,,
2022-11-24,,17.518249233389348,,
2022-11-25,,19.88460870683993,,
2022-11-26,,22.121513463236166,,
2022-11-27,,24.54480518751691,,
2022-11-28,,26.79507894576524,,
2022-11-29,,29.51190583060478,,
2022-11-30,,33.37098684312517,,
2022-12-01,,37.077198122304516,,
2022-12-02,,39.258575626351316,,
2022-12-03,,41.63715700794673,,
2022-12-04,,41.692001754310766,,
2022-12-05,,43.92375031900172,,
2022-12-06,,49.09120230660384,,
2022-12-07,,51.83126822332694,,
2022-12-08,,51.03262670358527,,
2022-12-09,,51.36803257075358,,
2022-12-10,,54.205072687411324,,
2022-12-11,,57.67478776029147,,
2022-12-12,,57.318765181709324,,
2022-12-13,,59.10953881872882,,
2022-12-14,,59.94353806773466,,
2022-12-15,,59.134709037037396,,
2022-12-16,,57.99052200960071,,
2022-12-17,,57.21249081712356,,
2022-12-18,,57.25845287317571,,
2022-12-19,,54.59574876784392,,
2022-12-20,,51.67381373130426,,
2022-12-21,,50.888729259584785,,
2022-12-22,,49.42463238342854,,
2022-12-23,,48.18033006136119,,
2022-12-24,,47.09249267381512,,
2022-12-25,,48.145731935966374,,
2022-12-26,,49.95837493457818,,
2022-12-27,,54.92218895118747,,
2022-12-28,,50.036121026669754,,
2022-12-29,,50.36775505576102,,
2022-12-30,,52.941380572874266,,
2022-12-31,,55.41827141547574,,
2023-01-01,,54.22136247453409,,
2023-01-02,,55.321185624293925,,
2023-01-03,22.42199640212863,56.71995622193461,,
2023-01-04,26.121487320606963,59.03318985176761,,
2023-01-05,27.35108756802404,61.80251235336436,,
2023-01-06,31.36626066738967,64.56959442091016,,
2023-01-07,34.98544987199117,68.57318456071643,,
2023-01-08,38.34220163297723,74.44775455890915,,
2023-01-09,40.723107657198995,80.62526465958057,,
2023-01-10,42.85994314672294,86.82895764599937,,
2023-01-11,44.734030057430395,94.4616832509404,,
2023-01-12,49.44985026528635,100.25066430621384,,
2023-01-13,53.208763909958115,103.7260286946164,,
2023-01-14,57.19684867382298,107.64299295132703,,
2023-01-15,59.88186701502503,113.72576776784348,,
2023-01-16,62.78533718323007,118.10946930721646,,
2023-01-17,65.79692630463262,122.54167888564784,,
2023-01-18,68.08493063956931,126.09006371069182,72.62845038920545,
2023-01-19,72.56564934202072,131.24917473598876,94.70125080213298,
2023-01-20,78.23233353671046,134.03688450533414,113.07858987642418,
2023-01-21,80.89825276913824,130.51801058281123,129.64805587572246,
2023-01-22,81.83622822810703,127.04698040977534,148.15529523616738,
2023-01-23,83.89654741272649,126.15261195315719,164.67161661807737,
2023-01-24,84.78550359332438,128.98440431645966,182.1318661346501,
2023-01-25,85.37219341516892,132.93973075972568,203.37939725138665,
2023-01-26,85.42360089424751,137.38111901532503,225.40232157003803,
2023-01-27,84.66990891231114,143.8554016591806,247.98863474449874,
2023-01-28,83.43486908383571,152.17440703797112,270.87906836480727,
2023-01-29,86.54419017787738,152.60337084117455,288.0365994134974,
2023-01-30,87.2609078910881,152.43348859346085,288.8703257956389,0.03327691405583187
2023-01-31,86.17986239965346,152.71025970902144,289.6809461829204,0.0478408220971206
2023-02-01,84.59444116965707,152.81983468888652,305.5564262941384,0.092836307794142
2023-02-02,81.83651940002413,152.36768058630557,324.4528548864203,0.15388031143689326
2023-02-03,78.7250954958518,148.9903021057788,344.82742718686717,0.22992205797208778
2023-02-04,76.9671610073391,147.47625462581843,365.1012962650688,0.26600949618866526
2023-02-05,81.10590833686743,147.2593510973598,386.7766397016101,0.27221634056859745
2023-02-06,86.39181058342233,140.49661871955655,401.7255944296333,0.3517436398841383
2023-02-07,91.7345804063724,133.61380089694296,403.0140075586501,0.36917802564477514
2023-02-08,96.27334226796906,135.31631833552163,410.83544890347963,0.37804131453278483
2023-02-09,99.0973206221854,138.1738710782229,411.888004612535,0.37695709401245964
2023-02-10,93.18139174285932,138.6533826946354,418.6597549471689,0.3679104922788798
2023-02-11,87.41351051335994,142.24956642583214,419.23403049099153,0.38452359945779385
2023-02-12,86.42866377242704,147.17965372274492,419.0779804631275,0.42270330806181017
2023-02-13,88.26587671782558,151.35183113880956,419.3891598615824,0.431652412097089
2023-02-14,91.51969573177819,158.40053591740124,431.08110664762154,0.48137845587639155
2023-02-15,94.09802088880924,163.46100777566403,445.16453233682364,0.5359789420478608
2023-02-16,93.28914989901942,163.2786704319502,461.84375129567707,0.5470654336416116
2023-02-17,90.729983391703,162.93401012347604,475.8073281260453,0.548018659372778
2023-02-18,89.90237850145321,163.6853071318085,476.43677656786787,0.5481487535082169
2023-02-19,91.23026028238455,162.0195665116675,476.6351774236623,0.5465453648015816
2023-02-20,92.45974355648998,161.3210288474066,489.09879622630706,0.5424121898600328
2023-02-21,91.8832461799272,159.31093790776302,500.143183146568,0.5353553019057623
2023-02-22,91.18579529683042,154.17467499859484,500.96133484209014,0.512572753157628
2023-02-23,90.16495708072917,151.1956146610331,511.0086149811386,0.48311693518157034
2023-02-24,86.02378476788776,148.99075334841402,524.0286954363258,0.47072137420681776
2023-02-25,84.34094731431584,145.39151668069334,538.0983105254005,0.4584801466622382
2023-02-26,84.14499305110463,144.62600375467574,551.7207553547911,0.4427684208647154
2023-02-27,85.87014738183076,143.4969633351481,562.2436146412006,0.4244360314520002
2023-02-28,84.26835798355039,142.38528617339074,574.2639197453304,0.40096611810451893
2023-03-01,81.84146793414756,141.7296139726314,591.2207594059274,0.3709802963491342
2023-03-02,80.26632943171698,140.64466462987767,607.9482963885549,0.335811053285514
2023-03-03,79.87905808838407,139.9222696222274,626.0750055341788,0.2991536574150723
2023-03-04,80.14972524574696,138.48772187969988,640.5110028434349,0.26841342073591085
2023-03-05,78.87241124519538,137.7941883024491,652.6510157003942,0.24525557789600996
2023-03-06,77.22094407306702,138.00975451218088,661.8184183026932,0.22036334087530066
2023-03-07,77.25580617123255,137.80583096957537,671.47302691323,0.19074724520638278
2023-03-08,77.38298537308168,137.40841532222092,679.9139530934855,0.1657263473198756
2023-03-09,77.91936445439067,137.04640606347698,688.043009862649,0.14138040669805887
2023-03-10,78.90865598965614,136.9237203229496,696.2713135453108,0.10260719259737977
2023-03-11,78.56731144263789,135.23636594261654,696.7485418952451,0.08690932939782219
2023-03-12,77.5216833481392,132.2810728566263,696.5817869705552,0.08907937125381805
2023-03-13,74.89004871146102,131.20671612712826,696.3654011314185,0.09008003927064596
2023-03-14,73.62287169883994,130.8931276718631,696.1540436768696,0.09062781029904426
2023-03-15,72.11986191289206,133.32517691401975,695.8136901117218,0.07999056749502025
2023-03-16,69.26855708840866,135.10162845948997,695.4847413663606,0.06428464383618332
2023-03-17,68.08239342556077,136.1659105168721,695.2402395681571,0.058050810362239434
2023-03-18,66.63515085375715,136.38100508609796,694.8635951492614,0.05740628727019514
2023-03-19,64.75102449911655,136.30241081496115,694.3444222600993,0.05837967815100554
2023-03-20,61.91739117589636,136.33011923016545,693.9141226002989,0.05853444504946983
2023-03-21,58.99172220232621,136.23269571004639,693.5800033504073,0.05862881491816335
2023-03-22,56.484770365608846,135.72135730811706,693.3959745780297,0.05788061018313287
2023-03-23,55.12711710614153,135.0913552190532,693.0386587175752,0.055333596867798616
2023-03-24,54.50703096652018,134.6230193725087,692.6852038030248,0.05086791085049208
2023-03-25,53.9613186257147,133.78671238381702,692.3760158807264,0.04432661289986104
2023-03-26,52.30059687472674,131.7107856366773,691.9225079107188,0.038898272328303764
2023-03-27,50.802775017963,128.07544620057976,691.4550735062361,0.03487803870286135
2023-03-28,48.36311695339543,126.535402149984,691.1031331466793,0.030862242267469777
2023-03-29,45.79750862113499,125.31943865910831,690.9221095915505,0.026745604361450237
2023-03-30,44.44417648439983,123.64949313067638,690.7789655827787,0.02239122999006055
2023-03-31,43.41696777975638,121.71766434778158,690.461533840972,0.017900581135890603
2023-04-01,42.4799515201852,119.44637466244409,689.5479447739041,0.013006717808958665
2023-04-02,41.06325144877663,116.75198611757249,689.2074885218108,0.007864115164111904
2023-04-03,39.23529205598329,113.91317851273489,688.954296427236,0.003919031305484326
2023-04-04,37.554288428655575,112.23864673361567,688.4357489783459,0.0055785652649040516
2023-04-05,35.66687338148504,110.18428505257502,688.2844687421638,0.006685146073327201
2023-04-06,32.08501239099711,109.11914626449914,688.273999696249,0.006202359873558154
2023-04-07,29.402524448541538,109.4202117750009,688.1418825446045,0.004668802817811208
2023-04-08,27.143463319913078,109.3200196448497,687.7606004345676,0.002778063647939573
2023-04-09,25.18920444785867,106.96984333811537,687.4380645531695,0.0015808165271155856
2023-04-10,23.95650763673285,101.39079549570765,686.9722644314949,
2023-04-11,,93.43641007136614,686.5558098398291,
2023-04-12,,89.66082701793522,686.228532409552,
2023-04-13,,89.7064264918093,684.6214829349314,
2023-04-14,,89.60853105585035,684.1213532305151,
2023-04-15,,89.44378119839327,683.4244927072145,
2023-04-16,,88.92515662847605,682.8092103691333,
2023-04-17,,88.0480043964988,682.5192071205255,
2023-04-18,,86.7892628867308,682.4602103605682,
2023-04-19,,85.16268442070792,682.0260407724319,
2023-04-20,,83.34504941666941,681.3424214291437,
2023-04-21,,81.03016694962365,681.2301547730809,
2023-04-22,,78.38565726441904,680.9599937077121,
2023-04-23,,76.11192323769372,680.6029785021626,
2023-04-24,,73.65709219032001,680.2569202041425,
2023-04-25,,70.83378875710288,679.3001275053442,
2023-04-26,,68.20902774209956,677.4931547126906,
2023-04-27,,65.02286306108347,674.3061412195135,
2023-04-28,,60.52545133450655,672.1509182666565,
2023-04-29,,55.896565122390506,670.001011005467,
2023-04-30,,52.84306541227207,667.841576764541,
2023-05-01,,50.00304697584147,665.5266377062036,
2023-05-02,,49.6097445999224,662.8316910264908,
2023-05-03,,49.422898206706286,660.0917633889895,
2023-05-04,,47.86855838730813,656.9580355348412,
2023-05-05,,45.61799227913993,654.3078537682802,
2023-05-06,,44.23701356253232,651.7562656750426,
2023-05-07,,42.60585634085392,649.6821288132386,
2023-05-08,,40.665579209104855,648.0079560201506,
2023-05-09,,35.13910944052932,645.3270199236525,
2023-05-10,,26.140283219407376,642.159517454595,
2023-05-11,,21.674184147514527,639.3211286187917,
2023-05-12,,20.18683542821791,636.8802468873462,
2023-05-13,,18.98617148760697,635.5872825965275,
2023-05-14,,17.786672610845425,634.9279911190034,
2023-05-15,,16.320064201201248,633.6926708375689,
2023-05-16,,14.880791822014347,632.0921224469552,
2023-05-17,,13.839922785532108,630.3710053661588,
2023-05-18,,,628.026244611452,
2023-05-19,,,625.3788159142923,
2023-05-20,,,622.5908365556744,
2023-05-21,,,620.377990170165,
2023-05-22,,,618.6794858079613,
2023-05-23,,,615.769595566845,
2023-05-24,,,613.9286149905691,
2023-05-25,,,611.3863783200742,
2023-05-26,,,608.4166448927937,
2023-05-27,,,605.3736492616546,
2023-05-28,,,601.9306818968743,
2023-05-29,,,598.0394552393667,
2023-05-30,,,593.8202598230868,
2023-05-31,,,588.8609585186535,
2023-06-01,,,586.1647858682362,
2023-06-02,,,583.4560347959583,
2023-06-03,,,578.9117477452796,
2023-06-04,,,575.8673160724823,
2023-06-05,,,573.9770589601883,
2023-06-06,,,570.4982678863017,
2023-06-07,,,566.5165723631635,
2023-06-08,,,561.3919110835667,
2023-06-09,,,554.8013506981134,
2023-06-10,,,548.4017329567553,
2023-06-11,,,545.2482261418124,
2023-06-12,,,,
2023-06-13,,,,
2023-06-14,,,,
2023-06-15,,,,
2023-06-16,,,,
2023-06-17,,,,
2023-06-18,,,,
2023-06-19,,,,
2023-06-20,,,,
2023-06-21,,,,
2023-06-22,,,,
2023-06-23,,,,
2023-06-24,,,,
2023-06-25,,,,
2023-06-26,,,,
2023-06-27,,,,
2023-06-28,,,,
2023-06-29,,,,
2023-06-30,,,,
2023-07-01,,,,
2023-07-02,,,,
2023-07-03,,,,
2023-07-04,,,,
2023-07-05,,,,
2023-07-06,,,,
2023-07-07,,,,
2023-07-08,,,,
2023-07-09,,,,
2023-07-10,,,,
2023-07-11,,,,
2023-07-12,,,,
2023-07-13,,,,
2023-07-14,,,,
2023-07-15,,,,
2023-07-16,,,,
2023-07-17,,,,
2023-07-18,,,,
2023-07-19,,,,
2023-07-20,,,,
2023-07-21,,,,
2023-07-22,,,,
2023-07-23,,,,
2023-07-24,,,,
2023-07-25,,,,
2023-07-26,,,,
2023-07-27,,,,
2023-07-28,,,,
2023-07-29,,,,
2023-07-30,,,,
2023-07-31,,,,
2023-08-01,,,,
2023-08-02,,,,
2023-08-03,,,,
2023-08-04,,,,
2023-08-05,,,,
2023-08-06,,,,
2023-08-07,,,,
2023-08-08,,,,
2023-08-09,,,,
2023-08-10,,,,
2023-08-11,,,,
2023-08-12,,,,
2023-08-13,,,,
2023-08-14,,,,
2023-08-15,,,,
2023-08-16,,,,
2023-08-17,,,,
2023-08-18,,,,
2023-08-19,,,,
2023-08-20,,,,
2023-08-21,,,,
2023-08-22,,,,
2023-08-23,,,,
2023-08-24,,,,
2023-08-25,,,,
2023-08-26,,,,
2023-08-27,,,,
2023-08-28,,,,
2023-08-29,,,,
2023-08-30,,,,
2023-08-31,,,,
2023-09-01,,,,
2023-09-02,,,,
2023-09-03,,,,
2023-09-04,,,,
2023-09-05,,,,
2023-09-06,,,,
2023-09-07,,,,
2023-09-08,,,,
2023-09-09,,,,
2023-09-10,,,,
2023-09-11,,,,
2023-09-12,,,,
2023-09-13,,,,
2023-09-14,,,,
2023-09-15,,,,
2023-09-16,,,,
2023-09-17,,,,
2023-09-18,,,,
2023-09-19,,,,
2023-09-20,,,,
2023-09-21,,,,
2023-09-22,,,,
2023-09-23,,,,
2023-09-24,,,,
2023-09-25,,,,
2023-09-26,,,,
2023-09-27,,,,
2023-09-28,,,,
2023-09-29,,,,
2023-09-30,,,,
2023-10-01,,,,
2023-10-02,,,,
2023-10-03,,,,
2023-10-04,,,,
2023-10-05,,,,
2023-10-06,,,,
2023-10-07,,,,
2023-10-08,,,,
2023-10-09,,,,
2023-10-10,,,,
2023-10-11,,,,
2023-10-12,,,,
2023-10-13,,,,
2023-10-14,,,,
2023-10-15,,,,
2023-10-16,,,,
2023-10-17,,,,
2023-10-18,,,,
2023-10-19,,,,
2023-10-20,,,,
2023-10-21,,,,
2023-10-22,,,,
2023-10-23,,,,
2023-10-24,,,,
2023-10-25,,,,
2023-10-26,,,,
2023-10-27,,,,
2023-10-28,,,,
2023-10-29,,,,
2023-10-30,,,,
2023-10-31,,,,
2023-11-01,,,,
2023-11-02,,,,
2023-11-03,,,,
2023-11-04,,,,
2023-11-05,,,,
2023-11-06,,,,
2023-11-07,,,,
2023-11-08,,,,
2023-11-09,,,,
2023-11-10,,,,
2023-11-11,,,,
2023-11-12,,,,
2023-11-13,,,,
2023-11-14,,,,
2023-11-15,,,,
2023-11-16,,,,
2023-11-17,,,,
2023-11-18,,,,
2023-11-19,,,,
2023-11-20,,,,
2023-11-21,,,,
2023-11-22,,,,
2023-11-23,,,,
2023-11-24,,,,
2023-11-25,,,,
2023-11-26,,,,
2023-11-27,,,,
2023-11-28,,,,
2023-11-29,,,,
2023-11-30,,,,
2023-12-01,,,,
2023-12-02,,,,
2023-12-03,,,,
2023-12-04,,,,
2023-12-05,,,,
2023-12-06,,,,
2023-12-07,,,,
2023-12-08,,,,
2023-12-09,,,,
2023-12-10,,,,
2023-12-11,,,,
2023-12-12,,,,
2023-12-13,,,,
2023-12-14,,,,
2023-12-15,,,,
2023-12-16,,,,
2023-12-17,,,,
2023-12-18,,,,
2023-12-19,,,,
2023-12-20,,,,
2023-12-21,,,,
2023-12-22,,,,
2023-12-23,,,,
2023-12-24,,,,
2023-12-25,,,,
2023-12-26,,,,
2023-12-27,,,,
2023-12-28,,,,
2023-12-29,,,,
2023-12-30,,,,
2023-12-31,,,,
2024-01-01,,,,
